name	address	city	area	averagePriceUnit	averagePrice	buildingTime	propertyFee	propertyCompany	developerName	roomAmount	buildingAmount	volumeRate	greeningRate
楼盘回收站宝山区	宝山区错误栋座房源回收处	上海	宝山	元/平	23675	2000年建	暂无信息	暂无信息	暂无信息	121户	3栋	0.0	0.0%
楼盘回收站金山区	金山错误栋座房源回收处	上海	金山	元/平	12765	2012年建	暂无信息	暂无信息	暂无信息	76户	37栋	0.0	0.0%
梅花路169弄	梅花路169弄	上海	浦东	无	无	2000年建	暂无信息	暂无信息	暂无信息	105户	13栋	0.0	0.0%
南良苑	松汇东路291弄,松汇东路29弄	上海	松江	无	无	2003年建	暂无信息	暂无信息	暂无信息	329户	35栋	0.0	0.0%
东新路240号	东新路240号	上海	普陀	无	无	1988年建	暂无信息	暂无信息	暂无信息	40户	2栋	0.0	0.0%
南湾新村	南三支路139弄	上海	浦东	无	无	1900年建	暂无信息	暂无信息	暂无信息	32户	17栋	0.0	0.0%
军民新村	军民新村	上海	浦东	无	无	1992年建	暂无信息	暂无信息	暂无信息	363户	16栋	0.0	0.0%
中山南路204号	中山南路204号	上海	黄浦	无	无	1900年建	暂无信息	暂无信息	暂无信息	1户	2栋	0.0	0.0%
金海岸花园	龙胜东路789弄	上海	金山	无	无	2003年建	暂无信息	暂无信息	暂无信息	1362户	79栋	0.0	0.0%
银州国际公馆	启东市滨海新城南海路601号	上海	上海周边	无	无	1900年建	暂无信息	暂无信息	暂无信息	2户	2栋	0.0	0.0%
建滔滨江裕花园	花桥集善路东侧、金峰路南侧	上海	上海周边	无	无	1900年建	暂无信息	暂无信息	暂无信息	0户	1栋	0.0	0.0%
迎熏路1201号	迎熏路1201号	上海	浦东	无	无	1900年建	暂无信息	暂无信息	暂无信息	1户	1栋	0.0	0.0%
杨园新苑	园一路41弄	上海	浦东	无	无	2004年建	暂无信息	暂无信息	暂无信息	124户	12栋	0.0	0.0%
金桥一景（一期）	平度路485弄	上海	浦东	无	无	2002年建	暂无信息	暂无信息	暂无信息	199户	17栋	1.58	30.0%
森兰自由度	启帆路871弄	上海	浦东	无	无	2015年建	暂无信息	暂无信息	暂无信息	63户	2栋	0.0	0.0%
